Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:03:25.910690+0900 0x16b5     Activity    0x5bb3d              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:26.122682+0900 0x16b5     Activity    0x5bb3e              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:26.123846+0900 0x16b5     Activity    0x5bb3f              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:26.768237+0900 0x16b5     Activity    0x5bcb0              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:26.782369+0900 0x16b5     Activity    0x5bcb1              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:26.851266+0900 0x16b5     Activity    0x5bcb2              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:26.867359+0900 0x16b5     Activity    0x5bcb3              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:26.968185+0900 0x16b5     Activity    0x5bcb4              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:26.981325+0900 0x16b5     Activity    0x5bcb5              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:27.064216+0900 0x16b5     Activity    0x5bcb6              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:27.072204+0900 0x16b5     Activity    0x5bcb7              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:27.092277+0900 0x16b5     Activity    0x5bcb8              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:27.093913+0900 0x16b5     Activity    0x5bcb9              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:27.098592+0900 0x16b5     Activity    0x5bcba              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:27.109389+0900 0x16b5     Activity    0x5bcbb              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:27.125897+0900 0x16b5     Activity    0x5bcbc              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:27.132888+0900 0x16b5     Activity    0x5bcbd              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:27.409553+0900 0x16b5     Activity    0x5bcbe              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:27.418169+0900 0x16b5     Activity    0x5bcbf              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:27.660801+0900 0x16b5     Activity    0x5bd10              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:27.676991+0900 0x16b5     Activity    0x5bd11              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:28.185001+0900 0x16b5     Activity    0x5bd12              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:28.196257+0900 0x16b5     Activity    0x5bd13              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:28.251492+0900 0x16b5     Activity    0x5bd14              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:28.266990+0900 0x16b5     Activity    0x5bd15              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:28.359797+0900 0x16b5     Activity    0x5bd16              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:28.376988+0900 0x16b5     Activity    0x5bd17              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:28.559708+0900 0x16b5     Activity    0x5bd18              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:28.576040+0900 0x16b5     Activity    0x5bd19              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:28.617916+0900 0x16b5     Activity    0x5bd1a              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:28.623830+0900 0x16b5     Activity    0x5bd1b              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:28.630960+0900 0x16b5     Activity    0x5bd1c              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:28.759784+0900 0x16b5     Activity    0x5bd1d              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:28.770231+0900 0x16b5     Activity    0x5bd1e              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:29.518147+0900 0x16b5     Activity    0x5bd1f              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:29.529934+0900 0x16b5     Activity    0x5bd80              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:29.645792+0900 0x16b5     Activity    0x5bd81              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:29.654786+0900 0x16b5     Activity    0x5bd82              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:29.734749+0900 0x16b5     Activity    0x5bd83              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:29.739412+0900 0x16b5     Activity    0x5bd84              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:29.893052+0900 0x16b5     Activity    0x5bd85              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:29.896199+0900 0x16b5     Activity    0x5bd86              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:29.903712+0900 0x16b5     Activity    0x5bd87              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:29.934641+0900 0x16b5     Activity    0x5bd88              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:29.939377+0900 0x16b5     Activity    0x5bd89              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.123873+0900 0x16b5     Activity    0x5bd8a              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.131157+0900 0x16b5     Activity    0x5bd8b              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.184737+0900 0x16b5     Activity    0x5bd8c              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:30.196849+0900 0x16b5     Activity    0x5bd8d              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.322940+0900 0x16b5     Activity    0x5bd8e              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.329555+0900 0x16b5     Activity    0x5bd8f              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.442978+0900 0x16b5     Activity    0x5bdb0              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.448423+0900 0x16b5     Activity    0x5bdb1              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.518060+0900 0x16b5     Activity    0x5bdb2              439    0    PriTypeV2: (InputMethodKit) Setting marked text
